tconst	parent_tconst	ssnNum	epNum	runTime
tt0394892	tt0279600	1	2	45
tt0516772	tt0417299	2	5	24
tt0516773	tt0417299	2	14	25
tt0516774	tt0417299	1	6	25
tt0516775	tt0417299	1	10	25
tt0516776	tt0417299	1	4	23
tt0516777	tt0417299	1	16	25
tt0516778	tt0417299	1	14	24
tt0516779	tt0417299	1	17	24
tt0516780	tt0417299	1	19	25
tt0516782	tt0417299	1	18	24
tt0516783	tt0417299	2	7	25
tt0583431	tt0108778	7	8	22
tt0583432	tt0108778	10	9	22
tt0583433	tt0108778	10	17	48
tt0583435	tt0108778	8	1	22
tt0583436	tt0108778	10	1	22
tt0583437	tt0108778	5	1	22
tt0583438	tt0108778	6	1	22
tt0583439	tt0108778	2	12	22
tt0583440	tt0108778	5	3	22
tt0583441	tt0108778	6	15	30
tt0583442	tt0108778	6	16	30
tt0583443	tt0108778	3	11	22
tt0583444	tt0108778	4	7	22
tt0583445	tt0108778	10	10	22
tt0583446	tt0108778	8	13	22
tt0583447	tt0108778	2	18	22
tt0583448	tt0108778	2	17	22
tt0583449	tt0108778	2	19	22
tt0583450	tt0108778	9	2	22
tt0583451	tt0108778	10	15	22
tt0583452	tt0108778	5	14	22
tt0583453	tt0108778	2	3	22
tt0583454	tt0108778	8	12	22
tt0583455	tt0108778	6	4	22
tt0583456	tt0108778	2	16	22
tt0583457	tt0108778	10	13	22
tt0583458	tt0108778	8	16	22
tt0583459	tt0108778	1	1	22
tt0583460	tt0108778	9	13	22
tt0583461	tt0108778	3	13	23
tt0583462	tt0108778	1	8	22
tt0583463	tt0108778	9	1	22
tt0583464	tt0108778	3	2	22
tt0583465	tt0108778	2	20	22
tt0583466	tt0108778	6	22	22
tt0583467	tt0108778	5	4	22
tt0583468	tt0108778	6	7	22
tt0583469	tt0108778	1	24	22
tt0583470	tt0108778	9	11	22
tt0583471	tt0108778	8	23	22
tt0583472	tt0108778	8	24	22
tt0583473	tt0108778	8	22	22
tt0583474	tt0108778	3	10	22
tt0583475	tt0108778	5	18	22
tt0583476	tt0108778	8	3	22
tt0583477	tt0108778	10	5	22
tt0583478	tt0108778	7	13	22
tt0583479	tt0108778	5	19	22
tt0583480	tt0108778	6	18	22
tt0583481	tt0108778	2	7	22
tt0583482	tt0108778	6	9	22
tt0583483	tt0108778	6	2	22
tt0583484	tt0108778	10	2	22
tt0583485	tt0108778	6	21	22
tt0583486	tt0108778	5	7	22
tt0583487	tt0108778	3	15	22
tt0583488	tt0108778	2	15	22
tt0583489	tt0108778	7	14	22
tt0583490	tt0108778	4	9	22
tt0583491	tt0108778	7	12	22
tt0583492	tt0108778	1	9	22
tt0583493	tt0108778	1	19	22
tt0583494	tt0108778	10	11	22
tt0583495	tt0108778	3	17	22
tt0583496	tt0108778	3	25	22
tt0583497	tt0108778	9	23	50
tt0583499	tt0108778	8	18	22
tt0583500	tt0108778	5	23	22
tt0583501	tt0108778	3	16	22
tt0583502	tt0108778	6	14	22
tt0583503	tt0108778	7	9	22
tt0583504	tt0108778	7	11	22
tt0583505	tt0108778	4	19	22
tt0583506	tt0108778	3	12	22
tt0583507	tt0108778	5	2	22
tt0583510	tt0108778	1	18	22
tt0583511	tt0108778	5	11	22
tt0583512	tt0108778	4	15	22
tt0583513	tt0108778	4	20	22
tt0583514	tt0108778	2	24	22
tt0583515	tt0108778	4	8	22
tt0583516	tt0108778	7	22	22
tt0583517	tt0108778	5	12	22
tt0583518	tt0108778	9	10	22
tt0583519	tt0108778	2	5	22
tt0583520	tt0108778	3	5	22
tt0583521	tt0108778	1	4	22
tt0583522	tt0108778	7	18	22
tt0583523	tt0108778	5	13	22
tt0583524	tt0108778	5	22	22
tt0583525	tt0108778	4	14	22
tt0583526	tt0108778	6	19	22
tt0583527	tt0108778	8	19	22
tt0583528	tt0108778	7	15	22
tt0583529	tt0108778	4	5	22
tt0583530	tt0108778	6	5	22
tt0583531	tt0108778	7	23	22
tt0583532	tt0108778	7	24	22
tt0583533	tt0108778	8	10	22
tt0583534	tt0108778	1	11	22
tt0583535	tt0108778	9	5	22
tt0583536	tt0108778	7	3	22
tt0583537	tt0108778	2	9	22
tt0583538	tt0108778	3	14	22
tt0583539	tt0108778	2	4	22
tt0583540	tt0108778	9	12	24
tt0583541	tt0108778	4	11	22
tt0583542	tt0108778	10	12	22
tt0583543	tt0108778	10	14	22
tt0583544	tt0108778	7	4	22
tt0583545	tt0108778	7	20	22
tt0583546	tt0108778	7	2	22
tt0583547	tt0108778	4	13	22
tt0583548	tt0108778	8	5	22
tt0583549	tt0108778	9	19	22
tt0583550	tt0108778	10	16	22
tt0583551	tt0108778	5	17	22
tt0583552	tt0108778	4	18	22
tt0583553	tt0108778	9	8	22
tt0583554	tt0108778	9	9	22
tt0583555	tt0108778	6	13	22
tt0583556	tt0108778	7	19	22
tt0583557	tt0108778	10	6	22
tt0583558	tt0108778	7	7	22
tt0583559	tt0108778	6	8	22
tt0583560	tt0108778	6	3	22
tt0583561	tt0108778	9	7	22
tt0583562	tt0108778	2	1	22
tt0583563	tt0108778	5	9	22
tt0583564	tt0108778	10	3	22
tt0583565	tt0108778	3	23	22
tt0583566	tt0108778	4	23	30
tt0583567	tt0108778	2	10	22
tt0583568	tt0108778	1	16	22
tt0583569	tt0108778	1	17	22
tt0583570	tt0108778	6	17	22
tt0583571	tt0108778	4	3	22
tt0583572	tt0108778	6	11	22
tt0583573	tt0108778	8	20	22
tt0583574	tt0108778	2	6	22
tt0583575	tt0108778	5	21	22
tt0583576	tt0108778	4	4	22
tt0583577	tt0108778	1	23	22
tt0583578	tt0108778	8	15	22
tt0583579	tt0108778	1	7	22
tt0583580	tt0108778	9	14	24
tt0583581	tt0108778	9	16	27
tt0583582	tt0108778	1	13	22
tt0583583	tt0108778	2	2	22
tt0583584	tt0108778	2	21	22
tt0583585	tt0108778	1	6	22
tt0583586	tt0108778	10	4	22
tt0583587	tt0108778	1	14	22
tt0583588	tt0108778	4	2	22
tt0583589	tt0108778	7	17	22
tt0583590	tt0108778	3	21	23
tt0583591	tt0108778	2	23	22
tt0583592	tt0108778	8	21	22
tt0583593	tt0108778	5	16	22
tt0583594	tt0108778	8	11	22
tt0583595	tt0108778	4	6	22
tt0583596	tt0108778	3	20	22
tt0583597	tt0108778	9	22	22
tt0583598	tt0108778	1	12	22
tt0583599	tt0108778	1	5	22
tt0583600	tt0108778	4	12	22
tt0583601	tt0108778	7	5	22
tt0583602	tt0108778	1	20	22
tt0583603	tt0108778	1	21	22
tt0583604	tt0108778	4	16	22
tt0583605	tt0108778	9	21	22
tt0583606	tt0108778	3	6	22
tt0583607	tt0108778	3	9	22
tt0583608	tt0108778	4	17	22
tt0583609	tt0108778	3	8	22
tt0583610	tt0108778	5	15	22
tt0583611	tt0108778	4	10	22
tt0583612	tt0108778	8	6	22
tt0583613	tt0108778	7	10	22
tt0583614	tt0108778	10	7	22
tt0583615	tt0108778	3	18	23
tt0583616	tt0108778	1	22	22
tt0583617	tt0108778	5	10	22
tt0583618	tt0108778	4	21	22
tt0583619	tt0108778	3	3	22
tt0583620	tt0108778	4	1	22
tt0583621	tt0108778	6	12	22
tt0583622	tt0108778	5	5	22
tt0583623	tt0108778	10	8	22
tt0583624	tt0108778	2	11	22
tt0583625	tt0108778	2	8	22
tt0583626	tt0108778	9	18	23
tt0583627	tt0108778	9	6	32
tt0583628	tt0108778	9	17	26
tt0583629	tt0108778	3	4	22
tt0583630	tt0108778	1	10	22
tt0583631	tt0108778	9	15	24
tt0583632	tt0108778	7	6	22
tt0583633	tt0108778	9	3	22
tt0583634	tt0108778	3	1	22
tt0583635	tt0108778	2	14	22
tt0583636	tt0108778	6	24	30
tt0583637	tt0108778	3	7	22
tt0583638	tt0108778	8	2	22
tt0583639	tt0108778	5	20	22
tt0583640	tt0108778	6	23	22
tt0583641	tt0108778	6	10	22
tt0583642	tt0108778	8	9	22
tt0583643	tt0108778	3	22	22
tt0583644	tt0108778	8	14	22
tt0583645	tt0108778	9	4	22
tt0583646	tt0108778	9	20	22
tt0583647	tt0108778	1	2	22
tt0583648	tt0108778	8	7	22
tt0583649	tt0108778	1	15	22
tt0583650	tt0108778	8	8	22
tt0583651	tt0108778	8	17	22
tt0583652	tt0108778	5	8	22
tt0583653	tt0108778	1	3	22
tt0583654	tt0108778	3	19	30
tt0583655	tt0108778	7	16	22
tt0583656	tt0108778	2	22	22
tt0583657	tt0108778	3	24	22
tt0583658	tt0108778	8	4	22
tt0583659	tt0108778	4	22	22
tt0583660	tt0108778	5	6	22
tt0606103	tt0460649	1	18	22
tt0606104	tt0460649	1	9	22
tt0606105	tt0460649	1	16	22
tt0606106	tt0460649	1	13	23
tt0606107	tt0460649	1	15	23
tt0606108	tt0460649	1	7	23
tt0606109	tt0460649	1	5	22
tt0606110	tt0460649	1	1	22
tt0606111	tt0460649	1	2	22
tt0606112	tt0460649	1	4	22
tt0606113	tt0460649	1	8	22
tt0606114	tt0460649	1	11	23
tt0606115	tt0460649	1	10	23
tt0606116	tt0460649	1	6	23
tt0606117	tt0460649	1	3	22
tt0606118	tt0460649	1	12	23
tt0606119	tt0460649	1	14	23
tt0702930	tt0279600	2	21	44
tt0702931	tt0279600	4	20	43
tt0702932	tt0279600	5	4	41
tt0702933	tt0279600	5	1	42
tt0702934	tt0279600	3	9	44
tt0702935	tt0279600	4	19	43
tt0702936	tt0279600	4	9	43
tt0702937	tt0279600	2	22	44
tt0702938	tt0279600	4	22	53
tt0702939	tt0279600	1	5	44
tt0702940	tt0279600	3	22	43
tt0702941	tt0279600	1	7	43
tt0702942	tt0279600	3	16	42
tt0702943	tt0279600	4	1	43
tt0702944	tt0279600	1	19	43
tt0702945	tt0279600	5	15	41
tt0702946	tt0279600	3	11	42
tt0702947	tt0279600	4	4	43
tt0702948	tt0279600	2	9	42
tt0702949	tt0279600	1	18	43
tt0702950	tt0279600	2	3	42
tt0702951	tt0279600	3	1	43
tt0702952	tt0279600	2	23	44
tt0702953	tt0279600	5	6	41
tt0702954	tt0279600	3	3	41
tt0702955	tt0279600	4	3	42
tt0702956	tt0279600	5	10	41
tt0702957	tt0279600	2	16	43
tt0702958	tt0279600	4	21	43
tt0702959	tt0279600	3	21	43
tt0702960	tt0279600	4	2	41
tt0702961	tt0279600	2	2	43
tt0702962	tt0279600	3	12	41
tt0702963	tt0279600	5	3	42
tt0702964	tt0279600	1	3	44
tt0702965	tt0279600	1	6	44
tt0702966	tt0279600	1	11	44
tt0702967	tt0279600	2	12	44
tt0702968	tt0279600	4	7	42
tt0702969	tt0279600	1	8	42
tt0702970	tt0279600	1	13	43
tt0702971	tt0279600	4	14	43
tt0702972	tt0279600	1	12	43
tt0702973	tt0279600	3	17	43
tt0702974	tt0279600	5	9	43
tt0702975	tt0279600	2	7	44
tt0702976	tt0279600	5	11	41
tt0702977	tt0279600	4	16	42
tt0702978	tt0279600	3	7	43
tt0702979	tt0279600	3	19	43
tt0702981	tt0279600	5	2	42
tt0702982	tt0279600	1	15	44
tt0702983	tt0279600	2	5	42
tt0702984	tt0279600	1	20	43
tt0702985	tt0279600	3	14	42
tt0702986	tt0279600	4	17	43
tt0702987	tt0279600	4	12	41
tt0702988	tt0279600	3	5	44
tt0702989	tt0279600	3	2	44
tt0702990	tt0279600	1	1	50
tt0702991	tt0279600	2	19	43
tt0702992	tt0279600	2	15	44
tt0702993	tt0279600	1	17	44
tt0702994	tt0279600	5	12	43
tt0702995	tt0279600	4	13	42
tt0702996	tt0279600	2	4	44
tt0702997	tt0279600	2	6	41
tt0702998	tt0279600	3	6	44
tt0702999	tt0279600	3	15	41
tt0703000	tt0279600	1	9	44
tt0703001	tt0279600	2	17	44
tt0703002	tt0279600	4	5	42
tt0703003	tt0279600	2	14	43
tt0703004	tt0279600	2	8	43
tt0703005	tt0279600	4	15	43
tt0703006	tt0279600	4	10	41
tt0703007	tt0279600	3	8	43
tt0703008	tt0279600	1	10	44
tt0703009	tt0279600	2	10	42
tt0703010	tt0279600	3	4	44
tt0703011	tt0279600	5	8	41
tt0703012	tt0279600	4	8	42
tt0703013	tt0279600	4	18	43
tt0703014	tt0279600	5	7	43
tt0703015	tt0279600	1	16	44
tt0703016	tt0279600	2	13	42
tt0703017	tt0279600	3	20	43
tt0703018	tt0279600	1	21	43
tt0703019	tt0279600	5	5	41
tt0703020	tt0279600	5	14	40
tt0703021	tt0279600	4	6	43
tt0703022	tt0279600	3	18	43
tt0703023	tt0279600	1	0	
tt0703024	tt0279600	4	11	43
tt0703025	tt0279600	3	13	43
tt0703026	tt0279600	5	13	41
tt0703027	tt0279600	2	11	43
tt0703028	tt0279600	2	18	42
tt0703029	tt0279600	2	1	42
tt0703030	tt0279600	3	10	41
tt0703031	tt0279600	2	20	42
tt0703032	tt0279600	1	4	44
tt0703033	tt0279600	1	14	41
tt0756481	tt0108778	6	6	22
tt0756482	tt0108778	6	20	22
tt0756483	tt0108778	7	1	22
tt0756484	tt0108778	7	21	22
tt0756504	tt0460649	1	17	23
tt0758992	tt0417299	1	15	25
tt0759270	tt0279600	5	16	42
tt0760062	tt0417299	1	5	25
tt0760776	tt0460649	1	20	22
tt0762600	tt0417299	2	1	25
tt0762601	tt0417299	2	4	25
tt0766472	tt0417299	2	2	25
tt0770866	tt0279600	5	17	41
tt0772328	tt0417299	1	2	25
tt0774239	tt0460649	1	22	23
tt0775583	tt0417299	2	15	25
tt0776042	tt0279600	5	20	42
tt0776043	tt0279600	5	21	43
tt0776256	tt0279600	5	18	42
tt0777524	tt0279600	5	22	43
tt0781983	tt0279600	5	19	43
tt0784201	tt0417299	2	3	25
tt0788623	tt0460649	1	19	23
tt0789293	tt0417299	2	9	25
tt0789294	tt0417299	2	6	25
tt0794679	tt0417299	2	16	25
tt0800734	tt0417299	1	8	24
tt0801470	tt0417299	1	1	23
tt0801608	tt0460649	1	21	23
tt0805799	tt0417299	2	8	25
tt0805800	tt0417299	1	3	25
tt0805801	tt0417299	1	7	25
tt0822878	tt0417299	2	20	25
tt0822879	tt0417299	1	9	25
tt0824795	tt0417299	1	13	25
tt0827261	tt0417299	2	12	24
tt0827262	tt0417299	1	11	25
tt0829520	tt0417299	2	11	25
tt0829521	tt0417299	2	10	25
tt0829522	tt0417299	1	12	25
tt0831047	tt0108778	2	13	22
tt0831940	tt0417299	2	13	24
tt0831941	tt0417299	2	19	25
tt0831990	tt0108778	5	24	22
tt0831991	tt0108778	4	24	30
tt0851026	tt0279600	6	1	42
tt0854017	tt0279600	6	2	42
tt0855623	tt0279600	6	3	42
tt0858000	tt0460649	2	4	22
tt0860230	tt0279600	6	4	42
tt0860231	tt0279600	6	5	42
tt0860232	tt0279600	6	9	40
tt0863640	tt0460649	2	1	22
tt0865115	tt0460649	2	6	23
tt0866188	tt0460649	2	5	23
tt0869673	tt0460649	2	2	22
tt0873024	tt0460649	2	3	22
tt0875360	tt0460649	2	7	23
tt0876938	tt0417299	2	18	25
tt0883272	tt0279600	6	6	40
tt0885871	tt0460649	2	8	23
tt0885872	tt0460649	2	9	23
tt0887307	tt0417299	2	17	25
tt0888739	tt0417299	3	5	25
tt0888740	tt0417299	3	7	24
tt0888741	tt0417299	3	4	25
tt0888742	tt0417299	3	3	23
tt0892578	tt0460649	2	10	23
tt0892673	tt0279600	6	8	41
tt0893232	tt0279600	6	7	42
tt0897111	tt0460649	2	12	23
tt0900434	tt0417299	3	8	25
tt0904645	tt0460649	2	11	23
tt0909291	tt0279600	6	11	42
tt0924673	tt0460649	2	13	23
tt0925651	tt0279600	6	13	42
tt0925652	tt0279600	6	15	42
tt0925653	tt0279600	6	12	40
tt0925654	tt0279600	6	14	42
tt0928328	tt0279600	6	10	42
tt0933496	tt0460649	2	14	22
tt0943657	tt0460649	2	16	23
tt0946316	tt0460649	2	15	30
tt0954401	tt0108778	6	25	30
tt0959376	tt0279600	6	16	42
tt0960605	tt0279600	6	17	40
tt0966112	tt0460649	2	19	23
tt0966647	tt0417299	3	2	25
tt0967584	tt0417299	3	1	25
tt0969965	tt0460649	2	17	22
tt0978049	tt0460649	2	18	23
tt0978549	tt0279600	6	19	41
tt0978550	tt0279600	6	18	41
tt0982196	tt0460649	2	21	22
tt0989789	tt0279600	6	20	42
tt0989790	tt0279600	6	22	41
tt0989791	tt0279600	6	21	41
tt0994245	tt0460649	2	20	30
tt10062310	tt10048342	1	1	59
tt10062312	tt10048342	1	2	65
tt10062314	tt10048342	1	3	46
tt10062318	tt10048342	1	4	49
tt10062320	tt10048342	1	5	48
tt10062322	tt10048342	1	6	60
tt10161330	tt9140554	1	1	51
tt10161334	tt9140554	1	2	53
tt10161336	tt9140554	1	3	42
tt10161338	tt9140554	1	5	48
tt10161340	tt9140554	1	4	48
tt10161342	tt9140554	1	6	45
tt1017766	tt0460649	2	22	23
tt1032115	tt0279600	7	1	42
tt1032116	tt0279600	7	10	41
tt1032117	tt0279600	7	11	42
tt1032118	tt0279600	7	12	42
tt1032119	tt0279600	7	13	42
tt1032120	tt0279600	7	2	42
tt1032121	tt0279600	7	3	41
tt1032122	tt0279600	7	4	42
tt1032123	tt0279600	7	5	42
tt1032124	tt0279600	7	6	41
tt1032125	tt0279600	7	7	42
tt1032126	tt0279600	7	8	40
tt1032127	tt0279600	7	9	41
tt10512638	tt0417299	1	20	24
tt10529408	tt10233448	1	1	28
tt10529410	tt10233448	1	2	24
tt10529416	tt10233448	1	3	24
tt10529418	tt10233448	1	4	24
tt10529424	tt10233448	1	5	24
tt10529430	tt10233448	1	6	24
tt10529434	tt10233448	1	7	24
tt10529438	tt10233448	1	8	24
tt10529440	tt10233448	1	9	24
tt10529442	tt10233448	1	10	24
tt10529444	tt10233448	1	11	24
tt10529448	tt10233448	1	12	24
tt10592808	tt10233448	1	13	26
tt10592810	tt10233448	1	14	26
tt10592816	tt10233448	1	15	26
tt10761004	tt4288182	4	1	28
tt10761008	tt4288182	4	2	31
